People,Food,Event,Activity,Travel,Transportation,Utility,Cash,Illegal/Sarcasm
friend,food,birthday,ball,beach,lyft,bill,atm,addiction
friendship,bbq,christmas,boat,place,uber,cable,bank,drug
baby,bean,happy,bar,la,cab,fee,cash,wangs
boy,latte,bday,book,world,bus,electric,money,weed
girl,breakfast,wedding,club,hotel,car,electricity,buck,anal
help,brunch,xmas,card,trip,gas,internet,wallet,bj
like,burger,holiday,dance,vega,taxi,rent,monies,blowjob
love,burrito,hbd,football,tahoe,ride,wifi,tip,boob
mom,cake,halloween,fun,nyc,rental,utility,dollar,booty
save,cheese,thanksgiving,game,dc,train,tax,payback,blow
sweet,chicken,bachelor,gift,sf,Ã¼ber,refund,lettuce,cocaine
tank,coffee,bachelorette,golf,island,ubers,house,watch,cock
thank,chip,donation,hair,cabo,gasolina,billz,hat,dirty
thanks,chinese,charity,pt,chicago,airport,deposit,supreme,dd
thx,chipotle,aid,movie,airbnb,fuel,pg,bitcoin,crack
ya,cream,nye,lesson,travel,cruise,tv,robinhood,bang
yo,costco,festivity,park,boston,air,paper,balance,dank
lol,dinner,formal,party,hostel,limo,comcast,expenses,dick
jj,drink,shower,poker,retreat,bike,light,switch,fart
lyfe,drank,photo,pool,nola,bp,phone,extra,fuck
bro,eat,present,ticket,miami,shuttle,power,rmb,gay
brother,din,graduation,fantasy,mexico,zipcar,due,,hooker
bud,dranks,homecoming,tix,cancun,transportation,home,,meth
buddy,fry,celebration,bowl,city,parking,clean,,lube
dad,grocery,detectiveday,show,austin,valet,security,,nude
daddy,ice,,night,sd,uhaul,room,,otphj
dude,juice,,day,cabin,vroom,splitwise,,kale
fam,lunch,,week,chi,tailgate,service,,penis
family,meat,,weekend,iceland,drive,laundry,,pat
father,pizza,,cover,thailand,pool,pge,,porn
duh,salad,,hookah,road,carpool,verizon,,pot
gracias,snack,,camp,Johannesburg,flight,insurance,,pussy
people,supply,,concert,Cape,beep,tp,,sex
ty,sushi,,bowling,sb,move,att,,sexual
luv,taco,,ski,casino,shipping,cox,,strip
babe,thai,,coachella,weekendaway,toll,membership,,stripper
cool,tip,,league,beachhouse,limo,plug,,slut
guy,water,,bball,,ubes,prime,,lash
angel,wine,,soccer,,gasoline,h2o,,titty
bb,booze,,softball,,ups,xfinity,,tit
boi,pho,,baseball,,fedex,pepco,,tot
bruh,wing,,gym,,,housing,,poop
ha,yum,,massage,,,renter,,pop
ily,dog,,hockey,,,heat,,poop
mother,hot,,adventure,,,agua,,bullshit
cocktail,bottle,,derby,,,peco,,deez
scream,boba,,band,,,check,,condom
miss,bagel,,fancy,,,charter,,sack
princess,brew,,hunt,,,netflix,,5sack
doggie,grub,,kickball,,,sdge,,fagg
thanku,vino,,edc,,,fridge,,nigga
xxlb,alcohol,,comedy,,,ikea,,bos
,egg,,warner,,,bge,,asian
,sandwich,,lotto,,,interwebs,,bae
,cooky,,tourney,,,amazon ,,midget
,milk,,funday,,,apartment,,blood
,tea,,karaoke,,,apt,,damn
,pie,,play,,,babysitting,,debt
,steak,,pong,,,cleaning,,interest
,soup,,basketball,,,cleaner,,rip
,feed,,bull,,,furniture,,line
,tequila,,activity,,,lift,,yay
,fish,,yoga,,,casa,,ye
,comida,,bach,,,cell,,yey
,ramen,,bracket,,,energy,,sexy
,sugar,,clothes,,,twc,,shit
,roll,,fifa,,,drycleaning,,shitty
,cafe,,fight ,,,coned,,shenanigan
,sauce,,gamble,,,spotify,,allowance
,nacho,,haircut,,,bed,,idiot
,foooood,,madness,,,garbage,,alc
,fooooood,,draft,,,bills,,gash
,fooood,,dope,,,dte,,whore
,donut,,ff,,,table,,G6
,foodz,,ballin,,,trash,,foot massage
,starbucks,,music,,,apple,,wood
,candy,,ncaa,,,delivery,,america
,noodle,,shopping,,,bag,,cool
,meal,,shoe,,,usps,,loan shark
,soda,,trivia,,,com,,da
,grill,,sport,,,ac,,life
,bfast,,mountaineer,,,carpet,,lyfe
,nut,,date,,,cat,,betch
,chick,,tutor,,,chair,,af
,drunk,,foxfield ,,,couch,,fool
,yummy,,flower,,,dry,,bird
,banquet,,duke ,,,essential,,bomb
,dumpling,,bet,,,garden,,bootihole
,poke,,giant,,,grid,,clutch
,coke,,giants,,,key,,death
,brownie,,lakers,,,kitchen,,dub
,cookout,,lake,,,lady,,dumb 
,spicy,,mountain ,,,lawn,,fat
,protein,,river,,,maid,,golden
,queso,,fest,,,prime,,hand
,pork,,art,,,puppy,,handy
,mango,,shark,,,rack,,hoe
,tofu,,shirt,,,shelter,,hole
,pasta,,board,,,storage,,homie
,coco,,class,,,textbook,,horse
,panera,,coach,,,tj,,jew
,veggie,,cup,,,toilet,,job
,cookie,,dress,,,towel,,kick
,milkshake,,escape,,,tube,,kiss
,nugget,,flag,,,wash,,loser
,chili,,gear,,,iphone,,stupid
,feast,,horse,,,edison,,lap
,liquor,,jacket,,,mask,,pee
,diner,,jam,,,chopsticks,,sugar mama
,cupcake,,jersey,,,tmobile,,meow
,margarita,,sweater,,,dresser,,mo
,bun,,sweatshirt,,,oil change,,poor
,dessert,,tshirt,,,plex,,queen
,pitcher,,math,,,screwdriver,,secret
,wendy,,master,,,,,shut
,joes,,paint,,,,,snow
,market,,raffle,,,,,suck
,bubble,,season ,,,,,suga
,mcdonald,,pass,,,,,swag
,pancake,,social,,,,,whoop
,vodka,,sock,,,,,bitch
,bread,,sox,,,,,butt
,mimosa,,squad,,,,,yolo
,domino,,suit,,,,,dildo
,beverage,,survivor,,,,,nipple
,sustenance,,tour,,,,,asshole
,rice,,war,,,,,bail
,guac,,warrior,,,,,butthole
,champagne,,cinema ,,,,,tampon
,chocolate,,theater,,,,,illegal
,nomz,,tennis,,,,,prank
,pickle,,us open ,,,,,mary jane
,safeway,,rage,,,,,steroids
,sausage,,volleyball,,,,,
,crab,,paintball,,,,,
,mike,,futbol,,,,,
,tab,,ufc,,,,,
,whiskey,,lolla,,,,,
,smoothie,,disney,,,,,
,foooooood,,championship,,,,,
,mcd,,basket,,,,,
,sup,,film,,,,,
,beef,,ktv,,,,,
,soap,,printing,,,,,
,bake,,walk,,,,,
,butter,,polish,,,,,
,fewd,,fishing,,,,,
,banana,,earring,,,,,
,waffle,,bollywood,,,,,
,eats,,settle,,,,,
,walmart,,zara,,,,,
,trader,,consultation,,,,,
,potato,,cancelled,,,,,
,oyster,,being,,,,,
,foood,,jerseyyy,,,,,
,curry,,cleanup,,,,,
,munchies,,drinko,,,,,
,bacon,,study,,,,,
,joe,,parking,,,,,
,pregame,,rave,,,,,
,chef,,,,,,,
,hangover,,,,,,,
,indian,,,,,,,
,dim,,,,,,,
,korean,,,,,,,
,kbbq,,,,,,,
,dinna,,,,,,,
,mexican,,,,,,,
,margs,,,,,,,
,noms,,,,,,,
,keg,,,,,,,
,jimmy,,,,,,,
,john,,,,,,,
,shot,,,,,,,
,jell,,,,,,,
,in n out,,,,,,,
,turkey,,,,,,,
,greek,,,,,,,
,shake,,,,,,,
,footlong,,,,,,,
,groceries,,,,,,,
,dunkin,,,,,,,
,iced,,,,,,,
,gaterode ,,,,,,,
,foot long ,,,,,,,
,subway,,,,,,,
,nom,,,,,,,
,apple,,,,,,,
,dip,,,,,,,
,publix,,,,,,,
,za,,,,,,,
,gummy,,,,,,,
,bell,,,,,,,
,mickey,,,,,,,
,cold,,,,,,,
,cup,,,,,,,
,cvs,,,,,,,
,duck,,,,,,,
,fresh,,,,,,,
,fud,,,,,,,
,garden,,,,,,,
,glass,,,,,,,
,kitchen,,,,,,,
,liquid,,,,,,,
,sangria,,,,,,,
,shack,,,,,,,
,avocado,,,,,,,
,stick,,,,,,,
,sum ,,,,,,,
,target,,,,,,,
,gelato,,,,,,,
,toast,,,,,,,
,fruit,,,,,,,
,starbs,,,,,,,
,fooooooood,,,,,,,
,hungry,,,,,,,
,popcorn,,,,,,,
,shrimp,,,,,,,
,cook,,,,,,,
,yogurt,,,,,,,
,lobster,,,,,,,
,quesadilla,,,,,,,
,cider,,,,,,,
,pretzel,,,,,,,
,patty,,,,,,,
,beerz,,,,,,,
,mcdonalds,,,,,,,
,gyro,,,,,,,
,fireball,,,,,,,
,pita,,,,,,,
,meatball,,,,,,,
,muffin,,,,,,,
,salmon,,,,,,,
,cerveza,,,,,,,
,mule,,,,,,,
,corona,,,,,,,
,ginger,,,,,,,
,corn,,,,,,,
,crawfish,,,,,,,
,buffet,,,,,,,
,kunjip,,,,,,,
,maki,,,,,,,
,oysters,,,,,,,
,jollibee,,,,,,,
,hotpot,,,,,,,
,dimsum,,,,,,,
,milktea,,,,,,,
,seafood,,,,,,,
,KFC,,,,,,,
,hmart,,,,,,,
,spinach,,,,,,,
,hall,,,,,,,
,spaghetti,,,,,,,
,pumpkin,,,,,,,
,claw,,,,,,,
,charcuterie,,,,,,,
,dosa,,,,,,,
,vegan,,,,,,,
,prosecco,,,,,,,
,veg,,,,,,,
,takeout,,,,,,,
,beer,,,,,,,
,Tan-cha,,,,,,,
,pho,,,,,,,
